time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-01-04T06:49:23.370Z,54.9099,164.8229,10,4.4,mb,,170,4.106,0.49,us,us2000j07a,2019-01-04T07:06:28.040Z,"81km WSW of Nikol'skoye, Russia",earthquake,13.6,2,0.101,28,reviewed,us,us
2019-01-04T06:22:44.590Z,-6.5098,130.3935,117.72,5.6,mww,,29,1.716,0.77,us,us2000j076,2019-01-04T06:41:54.236Z,"189km NNW of Saumlaki, Indonesia",earthquake,5.7,5.7,0.071,19,reviewed,us,us
2019-01-04T04:37:54.130Z,55.2981,-157.9746,42.6,4.1,mb,,168,1.035,0.65,us,us2000j06t,2019-01-04T04:59:54.040Z,"116km ENE of Chernabura Island, Alaska",earthquake,8.2,10.1,0.303,3,reviewed,us,us
2019-01-04T03:08:03.630Z,17.9333,-68.3008,60,2.75,md,14,222,0.5862,0.53,pr,pr2019004001,2019-01-04T07:41:15.196Z,"59km SSE of Boca de Yuma, Dominican Republic",earthquake,4.26,5.84,0.35,14,reviewed,pr,pr
2019-01-04T02:30:34.980Z,13.6312,-90.752,35,4,mb,,178,1.275,1.43,us,us2000j06y,2019-01-04T05:58:30.894Z,"33km SSE of Puerto San Jose, Guatemala",earthquake,4.2,2,0.183,8,reviewed,us,us
2019-01-04T01:16:47.400Z,19.0271,-64.2701,91,3.16,md,6,345,1.8098,0.19,pr,pr2019004000,2019-01-04T04:35:32.438Z,"76km NNE of Road Town, British Virgin Islands",earthquake,5.48,9.3,0.36,6,reviewed,pr,pr
2019-01-04T00:27:43.547Z,69.6037,-144.2652,6.3,2.7,ml,,,,0.86,ak,ak0196mb9o2,2019-01-04T00:42:59.040Z,"63km SSW of Kaktovik, Alaska",earthquake,,3.7,,,automatic,ak,ak
2019-01-03T23:35:22.280Z,18.2166,-68.6628,77,2.72,md,9,212,1.5673,0.43,pr,pr2019003008,2019-01-04T04:34:40.422Z,"18km SSW of Boca de Yuma, Dominican Republic",earthquake,6.24,4.3,0.24,9,reviewed,pr,pr
2019-01-03T22:59:25.950Z,22.8143,121.376,47.46,4.3,mb,,115,2.152,0.76,us,us2000j05k,2019-01-03T23:36:58.040Z,"24km ENE of Taitung City, Taiwan",earthquake,9.3,9.5,0.103,27,reviewed,us,us
2019-01-03T22:44:26.810Z,19.4416667,-155.6106667,-0.77,2.47,ml,39,108,0.01258,0.12,hv,hv70755941,2019-01-04T00:12:27.020Z,"26km E of Honaunau-Napoopoo, Hawaii",earthquake,0.2,0.3,0.102,30,reviewed,hv,hv
2019-01-03T21:35:14.600Z,54.8546,164.7117,10,5.4,mb,,118,4.024,0.98,us,us2000j04m,2019-01-03T21:51:32.040Z,"90km WSW of Nikol'skoye, Russia",earthquake,8.9,1.9,0.033,308,reviewed,us,us
2019-01-03T21:34:20.666Z,50.2697,-176.7857,47.2,2.6,ml,,,,0.48,ak,ak0195bbhxa,2019-01-03T23:10:21.763Z,"179km S of Adak, Alaska",earthquake,,500.5,,,reviewed,ak,ak
2019-01-03T21:11:51.330Z,-5.6531,-76.948,42.72,4.9,mb,,140,3.915,0.64,us,us2000j04a,2019-01-04T01:21:23.328Z,"43km N of Moyobamba, Peru",earthquake,4.8,8.7,0.052,115,reviewed,us,us
2019-01-03T20:59:02.640Z,2.3672,127.2966,58.38,4.8,mww,,104,1.586,0.67,us,us2000j048,2019-01-03T21:49:19.040Z,"106km NW of Tobelo, Indonesia",earthquake,7.8,7.1,0.073,18,reviewed,us,us
2019-01-03T20:55:26.715Z,61.8845,-147.324,39.7,3.6,ml,,,,0.55,ak,ak0195aujzk,2019-01-03T21:55:49.040Z,"81km E of Sutton-Alpine, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-01-03T20:51:38.562Z,61.3543,-150.1317,19.8,2.6,ml,,,,0.82,ak,ak0195atq3v,2019-01-04T04:54:12.945Z,"17km SSW of Big Lake, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-01-03T20:46:15.010Z,48.8169,153.7906,80.65,5.3,mb,,48,5.213,1.12,us,us2000j03t,2019-01-03T21:42:37.040Z,"266km SW of Severo-Kuril'sk, Russia",earthquake,9.4,4.1,0.031,339,reviewed,us,us
2019-01-03T20:07:17.990Z,54.9088,165.5045,10,4.3,mb,,167,4.466,0.52,us,us2000j03q,2019-01-03T21:21:56.040Z,"44km SW of Nikol'skoye, Russia",earthquake,7.7,2,0.104,26,reviewed,us,us
2019-01-03T18:51:38.086Z,58.5616,-154.1122,85.8,4.2,ml,,,,0.45,ak,ak01959muqd,2019-01-03T19:13:27.786Z,"114km N of Larsen Bay, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-01-03T18:20:50.160Z,62.2256,-152.0532,103.8,2.8,ml,,,,0.61,ak,ak01959g8gl,2019-01-03T19:17:20.040Z,"101km W of Talkeetna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-01-03T18:02:50.070Z,22.9222,121.0489,10,4.8,mb,,110,0.52,0.79,us,us2000j02k,2019-01-03T18:53:44.040Z,"20km NNW of Taitung City, Taiwan",earthquake,5,0.8,0.066,72,reviewed,us,us
2019-01-03T17:57:46.300Z,53.4018,159.6844,68.19,5,mb,,114,0.728,0.75,us,us2000j02g,2019-01-03T18:51:14.965Z,"79km ENE of Petropavlovsk-Kamchatskiy, Russia",earthquake,9.2,5.3,0.034,274,reviewed,us,us
2019-01-03T17:56:42.290Z,55.0294,164.661,10,4.3,mb,,165,4.074,0.46,us,us2000j02v,2019-01-03T19:43:53.040Z,"86km WSW of Nikol'skoye, Russia",earthquake,9.4,1.9,0.086,38,reviewed,us,us
2019-01-03T16:42:19.000Z,-10.6419,108.5165,8.84,4.5,mb,,83,2.821,0.89,us,us2000j024,2019-01-03T18:23:29.085Z,"South of Java, Indonesia",earthquake,7.1,4.7,0.097,35,reviewed,us,us
2019-01-03T15:34:35.300Z,25.3209,124.1559,122.33,4.8,mb,,68,1.342,0.82,us,us2000j01x,2019-01-03T15:53:35.040Z,"108km N of Ishigaki, Japan",earthquake,7.7,6.9,0.061,83,reviewed,us,us
